,Seed,Learning Rate,Batch Size,Val CE,Val Accuracy,Val F1,Test CE,Test Accuracy,Test F1,classification_report,classification_report_json
0,5768,0.0001,32,6.697745946737436,0.9702340154704788,0.972539659673457,8.724646987283931,0.9603085824493732,0.9652356249450197,"              precision    recall  f1-score   support

       LOC_B     0.6915    0.8937    0.7797       301
       LOC_I     0.6942    0.7000    0.6971       120
           O     0.9989    0.9632    0.9807     24118
       ORG_B     0.5406    0.9669    0.6935       544
       ORG_I     0.4894    0.9276    0.6407       373
       PER_B     0.8951    0.9545    0.9239       286
       PER_I     0.9655    0.9180    0.9412       183

    accuracy                         0.9603     25925
   macro avg     0.7536    0.9034    0.8081     25925
weighted avg     0.9756    0.9603    0.9652     25925
","{""LOC_B"": {""precision"": 0.6915167095115681, ""recall"": 0.893687707641196, ""f1-score"": 0.7797101449275362, ""support"": 301}, ""LOC_I"": {""precision"": 0.6942148760330579, ""recall"": 0.7, ""f1-score"": 0.6970954356846473, ""support"": 120}, ""O"": {""precision"": 0.9988820089439284, ""recall"": 0.9631810266191226, ""f1-score"": 0.98070671676447, ""support"": 24118}, ""ORG_B"": {""precision"": 0.5405960945529291, ""recall"": 0.9669117647058824, ""f1-score"": 0.6934739617666447, ""support"": 544}, ""ORG_I"": {""precision"": 0.4893917963224894, ""recall"": 0.9276139410187667, ""f1-score"": 0.6407407407407407, ""support"": 373}, ""PER_B"": {""precision"": 0.8950819672131147, ""recall"": 0.9545454545454546, ""f1-score"": 0.9238578680203047, ""support"": 286}, ""PER_I"": {""precision"": 0.9655172413793104, ""recall"": 0.9180327868852459, ""f1-score"": 0.9411764705882353, ""support"": 183}, ""accuracy"": 0.9603085824493732, ""macro avg"": {""precision"": 0.7536000991366282, ""recall"": 0.9034246687736668, ""f1-score"": 0.808108762641797, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9755756651748143, ""recall"": 0.9603085824493732, ""f1-score"": 0.9652356249450197, ""support"": 25925}}"
0,5768,0.0001,16,3.1735875350064955,0.9591696856947028,0.9632838914251681,5.480855363475926,0.9507039537126326,0.958042360540291,"              precision    recall  f1-score   support

       LOC_B     0.6466    0.8937    0.7503       301
       LOC_I     0.5210    0.7250    0.6063       120
           O     0.9986    0.9558    0.9767     24118
       ORG_B     0.4887    0.9577    0.6472       544
       ORG_I     0.4173    0.8928    0.5687       373
       PER_B     0.9774    0.7552    0.8521       286
       PER_I     0.9827    0.9290    0.9551       183

    accuracy                         0.9507     25925
   macro avg     0.7189    0.8727    0.7652     25925
weighted avg     0.9729    0.9507    0.9580     25925
","{""LOC_B"": {""precision"": 0.6466346153846154, ""recall"": 0.893687707641196, ""f1-score"": 0.7503486750348676, ""support"": 301}, ""LOC_I"": {""precision"": 0.5209580838323353, ""recall"": 0.725, ""f1-score"": 0.6062717770034843, ""support"": 120}, ""O"": {""precision"": 0.998570438398891, ""recall"": 0.9557591840119413, ""f1-score"": 0.9766959027159867, ""support"": 24118}, ""ORG_B"": {""precision"": 0.48874296435272047, ""recall"": 0.9577205882352942, ""f1-score"": 0.6472049689440995, ""support"": 544}, ""ORG_I"": {""precision"": 0.41729323308270677, ""recall"": 0.8927613941018767, ""f1-score"": 0.5687446626814688, ""support"": 373}, ""PER_B"": {""precision"": 0.9773755656108597, ""recall"": 0.7552447552447552, ""f1-score"": 0.8520710059171598, ""support"": 286}, ""PER_I"": {""precision"": 0.9826589595375722, ""recall"": 0.9289617486338798, ""f1-score"": 0.9550561797752809, ""support"": 183}, ""accuracy"": 0.9507039537126326, ""macro avg"": {""precision"": 0.7188905514571001, ""recall"": 0.8727336254098489, ""f1-score"": 0.765199024581764, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9728662053038735, ""recall"": 0.9507039537126326, ""f1-score"": 0.958042360540291, ""support"": 25925}}"
0,5768,0.0001,8,3.1742364740839193,0.9617154606873592,0.9647784033107332,2.7271423118533913,0.9516682738669238,0.9588354506370595,"              precision    recall  f1-score   support

       LOC_B     0.7160    0.8040    0.7574       301
       LOC_I     0.8182    0.5250    0.6396       120
           O     0.9984    0.9575    0.9775     24118
       ORG_B     0.4480    0.9669    0.6123       544
       ORG_I     0.4382    0.8847    0.5861       373
       PER_B     0.8927    0.9021    0.8974       286
       PER_I     0.9697    0.8743    0.9195       183

    accuracy                         0.9517     25925
   macro avg     0.7545    0.8449    0.7700     25925
weighted avg     0.9734    0.9517    0.9588     25925
","{""LOC_B"": {""precision"": 0.7159763313609467, ""recall"": 0.8039867109634552, ""f1-score"": 0.7574334898278561, ""support"": 301}, ""LOC_I"": {""precision"": 0.8181818181818182, ""recall"": 0.525, ""f1-score"": 0.6395939086294417, ""support"": 120}, ""O"": {""precision"": 0.9984435124735181, ""recall"": 0.9575006219421179, ""f1-score"": 0.9775435477384807, ""support"": 24118}, ""ORG_B"": {""precision"": 0.44804088586030666, ""recall"": 0.9669117647058824, ""f1-score"": 0.6123399301513388, ""support"": 544}, ""ORG_I"": {""precision"": 0.43824701195219123, ""recall"": 0.8847184986595175, ""f1-score"": 0.5861456483126111, ""support"": 373}, ""PER_B"": {""precision"": 0.8927335640138409, ""recall"": 0.9020979020979021, ""f1-score"": 0.8973913043478261, ""support"": 286}, ""PER_I"": {""precision"": 0.9696969696969697, ""recall"": 0.8743169398907104, ""f1-score"": 0.9195402298850575, ""support"": 183}, ""accuracy"": 0.9516682738669238, ""macro avg"": {""precision"": 0.7544742990770846, ""recall"": 0.8449332054656551, ""f1-score"": 0.769998294127516, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9733511301788409, ""recall"": 0.9516682738669238, ""f1-score"": 0.9588354506370595, ""support"": 25925}}"
0,5768,0.0001,4,1.6380934869446377,0.8732008224811515,0.896639441387525,1.528113253289993,0.8825458052073288,0.9095903703437166,"              precision    recall  f1-score   support

       LOC_B     0.3807    0.8272    0.5215       301
       LOC_I     0.5882    0.0833    0.1460       120
           O     0.9995    0.8852    0.9389     24118
       ORG_B     0.3344    0.9301    0.4920       544
       ORG_I     0.1876    0.8954    0.3103       373
       PER_B     0.6736    0.9091    0.7738       286
       PER_I     0.7963    0.9399    0.8622       183

    accuracy                         0.8825     25925
   macro avg     0.5658    0.7815    0.5778     25925
weighted avg     0.9598    0.8825    0.9096     25925
","{""LOC_B"": {""precision"": 0.38073394495412843, ""recall"": 0.8272425249169435, ""f1-score"": 0.5214659685863874, ""support"": 301}, ""LOC_I"": {""precision"": 0.5882352941176471, ""recall"": 0.08333333333333333, ""f1-score"": 0.145985401459854, ""support"": 120}, ""O"": {""precision"": 0.9995318132871389, ""recall"": 0.8851894850319264, ""f1-score"": 0.9388921872594939, ""support"": 24118}, ""ORG_B"": {""precision"": 0.33443489755452743, ""recall"": 0.9301470588235294, ""f1-score"": 0.4919786096256684, ""support"": 544}, ""ORG_I"": {""precision"": 0.18764044943820224, ""recall"": 0.8954423592493298, ""f1-score"": 0.31026474686483974, ""support"": 373}, ""PER_B"": {""precision"": 0.6735751295336787, ""recall"": 0.9090909090909091, ""f1-score"": 0.7738095238095237, ""support"": 286}, ""PER_I"": {""precision"": 0.7962962962962963, ""recall"": 0.9398907103825137, ""f1-score"": 0.8621553884711779, ""support"": 183}, ""accuracy"": 0.8825458052073288, ""macro avg"": {""precision"": 0.5657782607402313, ""recall"": 0.7814766258326408, ""f1-score"": 0.5777931180109921, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9597756839638764, ""recall"": 0.8825458052073288, ""f1-score"": 0.9095903703437166, ""support"": 25925}}"
0,5768,1e-05,32,6.741764404739325,0.9774796827572702,0.9787583136469071,7.923306552364545,0.9722275795564127,0.974628007640002,"              precision    recall  f1-score   support

       LOC_B     0.6901    0.9468    0.7983       301
       LOC_I     0.6880    0.7167    0.7020       120
           O     0.9988    0.9753    0.9869     24118
       ORG_B     0.6399    0.9669    0.7701       544
       ORG_I     0.6268    0.9142    0.7437       373
       PER_B     0.9317    0.9545    0.9430       286
       PER_I     0.9716    0.9344    0.9526       183

    accuracy                         0.9722     25925
   macro avg     0.7924    0.9156    0.8424     25925
weighted avg     0.9799    0.9722    0.9746     25925
","{""LOC_B"": {""precision"": 0.6900726392251816, ""recall"": 0.946843853820598, ""f1-score"": 0.7983193277310924, ""support"": 301}, ""LOC_I"": {""precision"": 0.688, ""recall"": 0.7166666666666667, ""f1-score"": 0.7020408163265307, ""support"": 120}, ""O"": {""precision"": 0.9987686820652174, ""recall"": 0.9753296293224977, ""f1-score"": 0.9869100062932662, ""support"": 24118}, ""ORG_B"": {""precision"": 0.6399026763990268, ""recall"": 0.9669117647058824, ""f1-score"": 0.7701317715959004, ""support"": 544}, ""ORG_I"": {""precision"": 0.6268382352941176, ""recall"": 0.9142091152815014, ""f1-score"": 0.7437295528898583, ""support"": 373}, ""PER_B"": {""precision"": 0.931740614334471, ""recall"": 0.9545454545454546, ""f1-score"": 0.9430051813471503, ""support"": 286}, ""PER_I"": {""precision"": 0.9715909090909091, ""recall"": 0.9344262295081968, ""f1-score"": 0.9526462395543176, ""support"": 183}, ""accuracy"": 0.9722275795564127, ""macro avg"": {""precision"": 0.7924162509155606, ""recall"": 0.9155618162643997, ""f1-score"": 0.8423975565340165, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9799333310798365, ""recall"": 0.9722275795564127, ""f1-score"": 0.974628007640002, ""support"": 25925}}"
0,5768,1e-05,16,2.3892748375924735,0.9688632135513561,0.9710833913691874,3.7692789703826692,0.9600385728061717,0.965057082389867,"              precision    recall  f1-score   support

       LOC_B     0.6443    0.9269    0.7602       301
       LOC_I     0.6504    0.6667    0.6584       120
           O     0.9989    0.9628    0.9805     24118
       ORG_B     0.5488    0.9724    0.7016       544
       ORG_I     0.4909    0.9357    0.6439       373
       PER_B     0.9491    0.9126    0.9305       286
       PER_I     0.9828    0.9344    0.9580       183

    accuracy                         0.9600     25925
   macro avg     0.7522    0.9016    0.8047     25925
weighted avg     0.9758    0.9600    0.9651     25925
","{""LOC_B"": {""precision"": 0.6443418013856813, ""recall"": 0.9269102990033222, ""f1-score"": 0.7602179836512262, ""support"": 301}, ""LOC_I"": {""precision"": 0.6504065040650406, ""recall"": 0.6666666666666666, ""f1-score"": 0.6584362139917695, ""support"": 120}, ""O"": {""precision"": 0.99892449989245, ""recall"": 0.9627663985405092, ""f1-score"": 0.9805122141756224, ""support"": 24118}, ""ORG_B"": {""precision"": 0.5487551867219918, ""recall"": 0.9724264705882353, ""f1-score"": 0.7015915119363395, ""support"": 544}, ""ORG_I"": {""precision"": 0.4908579465541491, ""recall"": 0.935656836461126, ""f1-score"": 0.6439114391143911, ""support"": 373}, ""PER_B"": {""precision"": 0.9490909090909091, ""recall"": 0.9125874125874126, ""f1-score"": 0.93048128342246, ""support"": 286}, ""PER_I"": {""precision"": 0.9827586206896551, ""recall"": 0.9344262295081968, ""f1-score"": 0.9579831932773109, ""support"": 183}, ""accuracy"": 0.9600385728061717, ""macro avg"": {""precision"": 0.7521622097714109, ""recall"": 0.9016343304793527, ""f1-score"": 0.8047334056527314, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9757745193573258, ""recall"": 0.9600385728061717, ""f1-score"": 0.965057082389867, ""support"": 25925}}"
0,5768,1e-05,8,1.0181893387115468,0.9706256731616567,0.9723784617199241,1.4858947734865877,0.9634715525554484,0.9673238535879547,"              precision    recall  f1-score   support

       LOC_B     0.6074    0.9302    0.7349       301
       LOC_I     0.7604    0.6083    0.6759       120
           O     0.9987    0.9662    0.9822     24118
       ORG_B     0.5645    0.9816    0.7168       544
       ORG_I     0.5812    0.9115    0.7098       373
       PER_B     0.8457    0.9580    0.8984       286
       PER_I     0.9721    0.9508    0.9613       183

    accuracy                         0.9635     25925
   macro avg     0.7614    0.9010    0.8113     25925
weighted avg     0.9760    0.9635    0.9673     25925
","{""LOC_B"": {""precision"": 0.6073752711496746, ""recall"": 0.9302325581395349, ""f1-score"": 0.7349081364829396, ""support"": 301}, ""LOC_I"": {""precision"": 0.7604166666666666, ""recall"": 0.6083333333333333, ""f1-score"": 0.6759259259259258, ""support"": 120}, ""O"": {""precision"": 0.9986714665295278, ""recall"": 0.9662078115930011, ""f1-score"": 0.9821714574728146, ""support"": 24118}, ""ORG_B"": {""precision"": 0.5644820295983086, ""recall"": 0.9816176470588235, ""f1-score"": 0.716778523489933, ""support"": 544}, ""ORG_I"": {""precision"": 0.5811965811965812, ""recall"": 0.9115281501340483, ""f1-score"": 0.7098121085594989, ""support"": 373}, ""PER_B"": {""precision"": 0.845679012345679, ""recall"": 0.958041958041958, ""f1-score"": 0.8983606557377047, ""support"": 286}, ""PER_I"": {""precision"": 0.9720670391061452, ""recall"": 0.9508196721311475, ""f1-score"": 0.9613259668508287, ""support"": 183}, ""accuracy"": 0.9634715525554484, ""macro avg"": {""precision"": 0.7614125809417976, ""recall"": 0.9009687329188353, ""f1-score"": 0.8113261106456636, ""support"": 25925}, ""weighted avg"": {""precision"": 0.976032609486993, ""recall"": 0.9634715525554484, ""f1-score"": 0.9673238535879547, ""support"": 25925}}"
0,5768,1e-05,4,0.6572180665144236,0.9767942817977088,0.9779015660326933,0.9887638093962517,0.9664416586306653,0.9697875672560669,"              precision    recall  f1-score   support

       LOC_B     0.7155    0.8439    0.7744       301
       LOC_I     0.8571    0.5500    0.6701       120
           O     0.9984    0.9708    0.9844     24118
       ORG_B     0.5826    0.9724    0.7287       544
       ORG_I     0.5392    0.9223    0.6805       373
       PER_B     0.8690    0.9510    0.9082       286
       PER_I     0.9670    0.9617    0.9644       183

    accuracy                         0.9664     25925
   macro avg     0.7898    0.8817    0.8158     25925
weighted avg     0.9775    0.9664    0.9698     25925
","{""LOC_B"": {""precision"": 0.7154929577464789, ""recall"": 0.8438538205980066, ""f1-score"": 0.7743902439024392, ""support"": 301}, ""LOC_I"": {""precision"": 0.8571428571428571, ""recall"": 0.55, ""f1-score"": 0.6700507614213198, ""support"": 120}, ""O"": {""precision"": 0.9983796691113764, ""recall"": 0.9708101832656107, ""f1-score"": 0.9844019339920117, ""support"": 24118}, ""ORG_B"": {""precision"": 0.5825991189427313, ""recall"": 0.9724264705882353, ""f1-score"": 0.7286501377410469, ""support"": 544}, ""ORG_I"": {""precision"": 0.5391849529780565, ""recall"": 0.9222520107238605, ""f1-score"": 0.6805143422354105, ""support"": 373}, ""PER_B"": {""precision"": 0.8690095846645367, ""recall"": 0.951048951048951, ""f1-score"": 0.9081803005008348, ""support"": 286}, ""PER_I"": {""precision"": 0.967032967032967, ""recall"": 0.9617486338797814, ""f1-score"": 0.9643835616438357, ""support"": 183}, ""accuracy"": 0.9664416586306653, ""macro avg"": {""precision"": 0.7898345868027149, ""recall"": 0.8817342957292065, ""f1-score"": 0.8157958973481284, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9774617190014953, ""recall"": 0.9664416586306653, ""f1-score"": 0.9697875672560669, ""support"": 25925}}"
0,5768,1e-06,32,4.5647929557240925,0.9481053559189269,0.953469116214221,7.186884689035223,0.9432208293153327,0.9520055632689978,"              precision    recall  f1-score   support

       LOC_B     0.5118    0.9336    0.6612       301
       LOC_I     0.7170    0.6333    0.6726       120
           O     0.9993    0.9446    0.9712     24118
       ORG_B     0.4580    0.9724    0.6227       544
       ORG_I     0.4289    0.9223    0.5855       373
       PER_B     0.8127    0.9406    0.8720       286
       PER_I     0.9396    0.9344    0.9370       183

    accuracy                         0.9432     25925
   macro avg     0.6953    0.8973    0.7603     25925
weighted avg     0.9702    0.9432    0.9520     25925
","{""LOC_B"": {""precision"": 0.51183970856102, ""recall"": 0.9335548172757475, ""f1-score"": 0.6611764705882353, ""support"": 301}, ""LOC_I"": {""precision"": 0.7169811320754716, ""recall"": 0.6333333333333333, ""f1-score"": 0.672566371681416, ""support"": 120}, ""O"": {""precision"": 0.9992543859649122, ""recall"": 0.9446471515050999, ""f1-score"": 0.9711837674240164, ""support"": 24118}, ""ORG_B"": {""precision"": 0.45800865800865803, ""recall"": 0.9724264705882353, ""f1-score"": 0.6227192466156563, ""support"": 544}, ""ORG_I"": {""precision"": 0.428927680798005, ""recall"": 0.9222520107238605, ""f1-score"": 0.585531914893617, ""support"": 373}, ""PER_B"": {""precision"": 0.8126888217522659, ""recall"": 0.9405594405594405, ""f1-score"": 0.8719611021069692, ""support"": 286}, ""PER_I"": {""precision"": 0.9395604395604396, ""recall"": 0.9344262295081968, ""f1-score"": 0.9369863013698629, ""support"": 183}, ""accuracy"": 0.9432208293153327, ""macro avg"": {""precision"": 0.6953229752458246, ""recall"": 0.8973142076419877, ""f1-score"": 0.7603035963828246, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9702462513860272, ""recall"": 0.9432208293153327, ""f1-score"": 0.9520055632689978, ""support"": 25925}}"
0,5768,1e-06,16,2.1709151978676138,0.9554489376285127,0.9595791571597609,3.8514554053545,0.9503567984570878,0.9573032178432755,"              precision    recall  f1-score   support

       LOC_B     0.5451    0.9037    0.6800       301
       LOC_I     0.8276    0.6000    0.6957       120
           O     0.9990    0.9526    0.9753     24118
       ORG_B     0.4796    0.9743    0.6428       544
       ORG_I     0.4784    0.9223    0.6300       373
       PER_B     0.8090    0.9476    0.8728       286
       PER_I     0.9558    0.9454    0.9505       183

    accuracy                         0.9504     25925
   macro avg     0.7278    0.8922    0.7782     25925
weighted avg     0.9721    0.9504    0.9573     25925
","{""LOC_B"": {""precision"": 0.5450901803607214, ""recall"": 0.9036544850498339, ""f1-score"": 0.68, ""support"": 301}, ""LOC_I"": {""precision"": 0.8275862068965517, ""recall"": 0.6, ""f1-score"": 0.6956521739130435, ""support"": 120}, ""O"": {""precision"": 0.9989999565198487, ""recall"": 0.9526494734223402, ""f1-score"": 0.9752743171254536, ""support"": 24118}, ""ORG_B"": {""precision"": 0.4796380090497738, ""recall"": 0.9742647058823529, ""f1-score"": 0.6428138265615525, ""support"": 544}, ""ORG_I"": {""precision"": 0.47844228094575797, ""recall"": 0.9222520107238605, ""f1-score"": 0.63003663003663, ""support"": 373}, ""PER_B"": {""precision"": 0.808955223880597, ""recall"": 0.9475524475524476, ""f1-score"": 0.8727858293075684, ""support"": 286}, ""PER_I"": {""precision"": 0.9558011049723757, ""recall"": 0.9453551912568307, ""f1-score"": 0.9505494505494505, ""support"": 183}, ""accuracy"": 0.9503567984570878, ""macro avg"": {""precision"": 0.7277875660893752, ""recall"": 0.8922469019839523, ""f1-score"": 0.778158889641957, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9721472819447451, ""recall"": 0.9503567984570878, ""f1-score"": 0.9573032178432755, ""support"": 25925}}"
