gold_label,gold_token,doc_idx,sent_idx
0,Kenyan,0,0
0,Firms,0,0
0,Eye,0,0
0,Deals,0,0
0,During,0,0
1,Obama,0,0
0,Summit,0,0
0,Tagged,0,0
0,:,0,0
0,The,0,0
0,Global,0,0
0,Entrepreneurship,0,0
0,Summit,0,0
0,",",0,0
0,launched,0,0
0,by,0,0
0,President,0,0
1,Obama,0,0
0,in,0,0
0,2009,0,0
0,",",0,0
0,brings,0,0
0,together,0,0
0,entrepreneurs,0,0
0,and,0,0
0,investors,0,0
0,from,0,0
0,across,0,0
3,Africa,0,0
0,and,0,0
0,around,0,0
0,the,0,0
0,world,0,0
0,annually,0,0
0,to,0,0
0,showcase,0,0
0,innovative,0,0
0,projects,0,0
0,",",0,0
0,exchange,0,0
0,new,0,0
0,ideas,0,0
0,",",0,0
0,and,0,0
0,help,0,0
0,spur,0,0
0,economic,0,0
0,opportunity,0,0
0,.,0,0
0,By,0,1
1,Neville,0,1
2,Otuki,0,1
3,Kenya,0,1
0,'s,0,1
0,business,0,1
0,leaders,0,1
0,were,0,1
0,Monday,0,1
0,planning,0,1
0,how,0,1
0,best,0,1
0,to,0,1
0,exploit,0,1
0,the,0,1
0,deal,0,1
0,-,0,1
0,making,0,1
0,opportunities,0,1
0,in,0,1
0,the,0,1
0,country,0,1
0,'s,0,1
0,history,0,1
0,starting,0,1
0,this,0,1
0,Friday,0,1
0,when,0,1
0,the,0,1
0,world,0,1
0,convenes,0,1
0,in,0,1
3,Nairobi,0,1
0,for,0,1
0,the,0,1
0,Global,0,1
0,Entrepreneurship,0,1
0,Summit,0,1
0,(,0,1
0,GES,0,1
0,),0,1
0,.,0,1
0,Industrialists,0,2
0,",",0,2
0,entrepreneurs,0,2
0,and,0,2
0,bankers,0,2
0,said,0,2
0,through,0,2
0,their,0,2
0,unions,0,2
0,",",0,2
0,they,0,2
0,were,0,2
0,keen,0,2
0,to,0,2
0,find,0,2
0,global,0,2
0,partners,0,2
0,with,0,2
0,expertise,0,2
0,and,0,2
0,financial,0,2
0,clout,0,2
0,to,0,2
0,help,0,2
0,drive,0,2
0,their,0,2
0,expansion,0,2
0,in,0,2
3,East,0,2
4,Africa,0,2
0,and,0,2
0,beyond,0,2
0,.,0,2
0,More,0,3
0,on,0,3
0,This,0,3
3,Kenya,0,3
0,:,0,3
3,Mombasa,0,3
4,Road,0,3
0,",",0,3
3,Uhuru,0,3
4,Highway,0,3
0,",",0,3
3,Waiyaki,0,3
4,Way,0,3
4,Among,0,3
4,Roads,0,3
0,to,0,3
0,Be,0,3
0,Closed,0,3
0,During,0,3
1,Obama,0,3
0,Visit,0,3
0,-,0,3
0,Police,0,3
0,Expansion,0,3
0,of,0,3
0,the,0,3
0,private,0,3
0,sector,0,3
0,-,0,3
0,the,0,3
0,engine,0,3
0,of,0,3
0,the,0,3
0,economy,0,3
0,-,0,3
0,would,0,3
0,trigger,0,3
0,economic,0,3
0,activity,0,3
0,",",0,3
0,ignite,0,3
0,productivity,0,3
0,and,0,3
0,create,0,3
0,the,0,3
0,much,0,3
0,needed,0,3
0,jobs,0,3
0,for,0,3
0,the,0,3
0,millions,0,3
0,of,0,3
0,unemployed,0,3
0,youth,0,3
0,.,0,3
0,"""",0,4
0,Local,0,4
0,manufacturers,0,4
0,will,0,4
0,be,0,4
0,looking,0,4
0,for,0,4
0,joint,0,4
0,venture,0,4
0,deals,0,4
0,and,0,4
0,partnerships,0,4
0,to,0,4
0,boost,0,4
0,their,0,4
0,capacity,0,4
0,for,0,4
0,growth,0,4
0,through,0,4
0,skills,0,4
0,transfer,0,4
0,besides,0,4
0,new,0,4
0,capital,0,4
0,injection,0,4
0,",",0,4
0,"""",0,4
0,the,0,4
5,Kenya,0,4
6,Association,0,4
6,of,0,4
6,Manufacturers,0,4
0,(,0,4
5,KAM,0,4
0,),0,4
0,CEO,0,4
1,Phyllis,0,4
2,Wakiaga,0,4
0,said,0,4
0,.,0,4
0,A,0,5
0,number,0,5
0,of,0,5
0,industrialists,0,5
0,have,0,5
0,opened,0,5
0,talks,0,5
0,with,0,5
0,their,0,5
0,global,0,5
0,counterparts,0,5
0,who,0,5
0,have,0,5
0,arrived,0,5
0,in,0,5
3,Kenya,0,5
0,ahead,0,5
0,of,0,5
0,the,0,5
0,GES,0,5
0,which,0,5
0,opens,0,5
0,in,0,5
