true_label,original_sent,text_output
0,"The U. S. international trade deficit narrowed in May, as a large increase in exports of goods and services more than offset a moderate increase in imports.","HAWKISH: Neutral
DOVISH: Ease
HAWKISH: Tighten
DOVISH: Ease
NEUTRAL: Neutral
DOVISH: Ease
HAWKISH: Tighten
NEUTRAL: Neutral
DOVISH: Ease"
0,"Based on historical experience, it seems improbable that all of the large rise in multifactor productivity could be attributed to cyclical or transitory factors.","HAWKISH
Based on historical experience, it seems improbable that all of the large rise in multifactor productivity could be attributed to cyclical or transitory factors. therefore, the FOMC is probably likely to continue to tighten credit conditions in the coming months."
2,"This was also an era when the principal mortgage lenders, savings and loans, were sometimes constrained from satisfying mortgage demands by binding Regulation Q ceilings that eroded their deposit base when interest rates rose.","HAWKISH  Labeling this sentence as 'HAWKISH' indicates that the monetary policy of the Federal Reserve is expected to tighten over the coming months.
DOVISH    Labeling this sentence as 'DOVISH' indicates that the monetary policy of the Federal Reserve is expected to ease over the coming months.
NEUTRAL  Labeling this sentence as 'NEUTRAL' indicates that the stance of the Federal Reserve is neutral."
2,The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter.,"HAWKISH
The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter. classed as HAWKISH, because the available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter."
2,"However, we have also found that excluding volatile food and energy prices generally gives a better sense of underlying inflation pressures that are likely to persist and dominate total inflation over time.","HAWKISH  Explanation: 'HAWKISH' indicates that the monetary policy will be tightened in the future.
DOVISH  Explanation: 'DOVISH' indicates that the monetary policy will be eased in the future.
NEUTRAL Explanation: 'NEUTRAL' indicates that the monetary policy will not be affected (stayed the same)."
2,"In this case, there may be no problem for monetary policy.","'HAWKISH', 'DOVISH', 'NEUTRAL'
'HAWKISH', because the sentence suggests that the monetary policy will be tightened
'DOVISH', because the sentence suggests that the monetary policy will be loosened
'NEUTRAL', the sentence does not suggest any monetary policy stance"
0,"In addition, U.S. inflation remains muted.","HAWKISH
The sentence indicates that the monetary policy of the U.S. will be tightened.
DOVISH
The sentence indicates that the monetary policy of the U.S. will be eased.
NEUTRAL
The sentence indicates that the monetary policy of the U.S. is neutral."
0,These geopolitical events also pose downside risks to growth.,Dovish
1,"Rather, members agreed that inflation was likely to moderate in coming quarters,","HAWKISH
The sentence describes a hawkish stance. Inflation is likely to moderate in coming quarters, which is good for the economy.
DOVISH
The sentence describes a dovish stance. Inflation is likely to moderate in coming quarters, which is good for the economy.
NEUTRAL
The sentence describes a neutral stance. Inflation is likely to moderate in coming quarters, which is good for the economy."
2,"But it could be that if interest rates rise quickly, for example, that we would be in a situation of not giving remittances to the Treasury for a couple of years, and that would create problems, no doubt, for the Fed in terms of congressional response.","Dovish
The stance is Dovish because the speaker is considering an easing of monetary policy"
2,"I look forward, as always, to my conversation with Tim, but first, please allow me to offer a few remarks on the economic outlook, Federal Reserve monetary policy, and our new monetary policy framework.","HAWKISH
I look forward, as always, to my conversation with Tim, but first, please allow me to offer a few remarks on the economic outlook, Federal Reserve monetary policy, and our new monetary policy framework.
DOVISH
I look forward, as always, to my conversation with Tim, but first, please allow me to offer a few remarks on the economic outlook, Federal Reserve monetary policy, and our new monetary policy framework.
NEUTRAL
I look forward, as always, to my conversation with Tim, but first, please allow me to offer a few remarks on the economic outlook, Federal Reserve monetary policy, and our new monetary policy framework."
2,"In the productivity boom that followed World War I, a chief technological innovation was the spread of electrification to the factory floor.","HAWKISH
DOVISH
NEUTRAL
label
HAWKISH
DOVISH
NEUTRAL
***
HAWKISH
DOVISH
NEUTRAL
The spread of electrification to the factory floor was an important contributor to the productivity boom following World War I. Increase in worker productivity drove the decade-long US economic boom that followed the war, eventually coming to be known as the Roaring Twenties.
In the productivity boom that followed World War I, a chief technological innovation was the spread of electrification to the factory floor. Electricity allowed factories to run more and more devices simultaneously, producing more output per worker.
By the start of the 21st century, 90% of industry was electrified. In the decade leading up to the global financial crisis of 2007-08, worker productivity rose by around 60%, compared with around 40% in the two decades before.
The productivity boom following World War I was made possible by technological change, in this case electrification, that allowed factories to run more and more devices simultaneously, producing more output per worker."
1,"Major stock price indexes were up a bit over the intermeeting period, as positive first-quarter earnings reports more than offset the negative effects of higher energy prices and rising interest rates.","HAWKISH Explanation: 'HAWKISH' class indicates that the sentence refers to tightening of the monetary policy since the last FOMC meeting.
DOVISH Explanation: 'DOVISH' class indicates that the sentence refers to easing of the monetary policy since the last FOMC meeting.
NEUTRAL Explanation: 'NEUTRAL' class indicates that the sentence is neutral since the last FOMC meeting."
0,"The early days of stabilization policy in the 1950s taught monetary policymakers not to attempt to offset what are likely to be temporary fluctuations in inflation.15 Indeed, responding may do more harm than good, particularly in an era where policy rates are much closer to the effective lower bound even in good times.","HAWKISH
The early days of stabilization policy in the 1950s taught monetary policymakers not to attempt to offset what are likely to be temporary fluctuations in inflation.
15 Indeed, responding may do more harm than good, particularly in an era where policy rates are much closer to the effective lower bound even in good times.
DOVISH
The early days of stabilization policy in the 1950s taught monetary policymakers not to attempt to offset what are likely to be temporary fluctuations in inflation.
NEUTRAL
The early days of stabilization policy in the 1950s taught monetary policymakers not to attempt to offset what are likely to be temporary fluctuations in inflation."
