true_label,original_sent,text_output
0,"The U. S. international trade deficit narrowed in May, as a large increase in exports of goods and services more than offset a moderate increase in imports.","NEUTRAL

The sentence is providing information about the U.S. international trade deficit, which is not directly related to the tightening or easing of monetary policy, hence it is classified as 'NEUTRAL'."
0,"Based on historical experience, it seems improbable that all of the large rise in multifactor productivity could be attributed to cyclical or transitory factors.","NEUTRAL

The sentence is discussing historical trends in multifactor productivity, which is not directly related to the tightening or easing of monetary policy, hence it is classified as 'NEUTRAL'."
2,"This was also an era when the principal mortgage lenders, savings and loans, were sometimes constrained from satisfying mortgage demands by binding Regulation Q ceilings that eroded their deposit base when interest rates rose.","NEUTRAL

The sentence is discussing historical context and regulations, without indicating a stance towards either tightening or easing of monetary policy."
2,The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter.,"NEUTRAL

The sentence is discussing the contribution of net exports to real GDP growth, which is an economic observation and does not indicate a stance towards monetary policy tightening or easing."
2,"However, we have also found that excluding volatile food and energy prices generally gives a better sense of underlying inflation pressures that are likely to persist and dominate total inflation over time.","NEUTRAL
The sentence is discussing the method of assessing inflation pressures by excluding volatile food and energy prices, but it does not indicate a specific direction towards either tightening or easing of the monetary policy."
2,"In this case, there may be no problem for monetary policy.","NEUTRAL

The sentence does not indicate any specific direction towards either tightening or easing of the monetary policy, hence it is classified as neutral."
0,"In addition, U.S. inflation remains muted.","DOVISH

The sentence indicates that inflation is not a current concern, which often leads to a more accommodative or easing monetary policy stance."
0,These geopolitical events also pose downside risks to growth.,"'DOVISH'
The sentence suggests that geopolitical events could potentially harm economic growth, indicating a potential need for monetary policy easing to counteract these risks."
1,"Rather, members agreed that inflation was likely to moderate in coming quarters,","'DOVISH'

The sentence suggests that the FOMC members expect inflation to moderate in the future, which implies a potential easing of monetary policy."
2,"But it could be that if interest rates rise quickly, for example, that we would be in a situation of not giving remittances to the Treasury for a couple of years, and that would create problems, no doubt, for the Fed in terms of congressional response.","HAWKISH
The sentence suggests a potential increase in interest rates, which corresponds to a tightening of the monetary policy, hence it is classified as 'HAWKISH'."
2,"I look forward, as always, to my conversation with Tim, but first, please allow me to offer a few remarks on the economic outlook, Federal Reserve monetary policy, and our new monetary policy framework.","NEUTRAL

The sentence does not provide any specific information or stance about the tightening or easing of the monetary policy, it merely mentions a forthcoming discussion about the economic outlook and monetary policy."
2,"In the productivity boom that followed World War I, a chief technological innovation was the spread of electrification to the factory floor.","NEUTRAL

The sentence is discussing a historical event related to technological innovation and productivity, not commenting on or suggesting any particular monetary policy stance."
1,"Major stock price indexes were up a bit over the intermeeting period, as positive first-quarter earnings reports more than offset the negative effects of higher energy prices and rising interest rates.","NEUTRAL

The sentence is neutral as it is merely stating the facts about the stock price indexes, earnings reports, energy prices, and interest rates without indicating any specific stance towards monetary policy."
0,"The early days of stabilization policy in the 1950s taught monetary policymakers not to attempt to offset what are likely to be temporary fluctuations in inflation.15 Indeed, responding may do more harm than good, particularly in an era where policy rates are much closer to the effective lower bound even in good times.","DOVISH

The sentence suggests a reluctance to respond to temporary fluctuations in inflation, indicating a preference for a more relaxed, or dovish, monetary policy. The mention of potential harm from responding, especially when policy rates are close to the lower bound, further supports this classification."
1,"While the current episode has not yet concluded, it appears that, responding vigorously in a relatively flexible economy to the aftermath of bubbles, as traumatic as that may be, is less inhibiting to long-term growth than chronic high-inflation monetary policy.","HAWKISH
The sentence suggests a preference for a vigorous response to economic bubbles, which often involves tightening monetary policy, and a disapproval of chronic high-inflation monetary policy, which is typically associated with a dovish stance."
0,But I want to emphasize that we do have a commitment to raising inflation to 2 percent.,"DOVISH

The sentence indicates a commitment to raising inflation, which typically involves easing monetary policy to stimulate economic activity."
2,The Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent with the Committee's assessments of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time.,"DOVISH

The Committee's decision to maintain the current low target range for the federal funds rate, along with the condition that this will continue until labor market conditions improve and inflation exceeds 2%, indicates a policy of monetary easing aimed at stimulating economic activity."
1,"Spreads on risky private-sector debt reached very low levels, and damaging spillovers to the nonfinancial sector occurred in the form of unduly high real estate prices and excessive leverage by borrowers in the housing market.","HAWKISH
The sentence indicates concerns about excessive risk-taking in the private sector, suggesting a need for tighter monetary policy to prevent potential financial instability."
1,"As a consequence, a sustainable, non-inflationary expansion is likely to involve some moderation in the growth of economic activity to a rate more consistent with the expansion of the nationâ€™s underlying productive capacity.","NEUTRAL

The sentence is neutral as it is merely stating a likely economic scenario without indicating a clear direction towards either tightening or easing of the monetary policy."
0,Significant cost cutting by firms was thought to have led to a sizable increase in productivity growth in the first half of the year,"NEUTRAL

The sentence is discussing an increase in productivity growth due to cost cutting by firms, which is a general economic observation and does not directly indicate a tightening or easing of monetary policy."
1,They noted that the economy had entered the new year with considerable momentum and very few indications that growth was moderating from what appeared to be an unsustainable rate.,"HAWKISH
The sentence suggests that the economy is growing at a strong, potentially unsustainable rate, which could lead to inflation and therefore a tightening of monetary policy."
