true_label,original_sent,text_output
2,Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,HAWKISH
0,"You know, stimulating aggregate demand is one thing, but where there’s a part of the economy that kind of will be resistant to that, you also need fiscal policy.","HAWKISH:

The Federal Open Market Committee (FOMC) is a committee of the United States Federal Reserve System that sets monetary policy. The FOMC is composed of the seven members of the Board of Governors of the Federal Reserve System, the President of the Federal Reserve Bank of New York, and the President of the Federal Reserve Bank of Chicago. The FOMC's decisions are guided by the Federal Open Market Committee Act of 1978, which requires the FOMC to consider the economic outlook and the appropriate stance of monetary policy.

The FOMC's decisions are guided by the Federal Open Market Committee Act of 1978, which requires the FOMC to consider the economic outlook and the appropriate stance of monetary policy. The FOMC's decisions are guided by the Federal Open Market Committee Act of 1978, which requires the FOMC to consider the economic outlook and the appropriate stance of monetary policy.

DOVISH:

The Federal Open Market Committee (FOMC) is a committee of the United States Federal Reserve System that sets monetary policy. The FOMC is composed of the seven members of the Board of Governors of the Federal Reserve System, the President of the Federal Reserve Bank of New York, and the President of the Federal Reserve Bank of Chicago. The FOMC's decisions are guided by the Federal Open Market Committee Act of 1978, which requires the FOMC to consider the economic outlook and the appropriate stance of monetary policy.

The FOMC's decisions are guided by the Federal Open Market Committee Act of 1978, which requires the FOMC to consider the economic outlook and the appropriate stance of monetary policy. The FOMC's decisions are guided by the Federal Open Market Committee Act of 1978"
0,Much of this performance was fueled by an investment boom that also contributed importantly to rapid growth in labor productivity.,"HAWKISH:

""Much of this performance was fueled by an investment boom that also contributed importantly to rapid growth in labor productivity.""

DOVISH:

""Much of this performance was fueled by an investment boom that also contributed importantly to rapid growth in labor productivity.""

NEUTRAL:

""Much of this performance was fueled by an investment boom that also contributed importantly to rapid growth in labor productivity."""
2,"With about $250 billion of these inflation-protected securities now outstanding, we can get readings along the entire maturity structure of real interest rates.",The FOMC's monetary policy stance is HAWKISH. The FOMC is tightening monetary policy by increasing the target for the federal funds rate.
2,"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.","HAWKISH:

The FOMC statement is hawkish because it is indicating that the Fed is likely to tighten monetary policy in the near future. The statement is also indicating that the Fed is likely to continue to monitor the labor market closely and take action if necessary.

DOVISH:

The FOMC statement is dovish because it is indicating that the Fed is likely to ease monetary policy in the near future. The statement is also indicating that the Fed is likely to continue to monitor the labor market closely and take action if necessary.

NEUTRAL:

The FOMC statement is neutral because it is not indicating a clear direction for monetary policy. The statement is also not indicating any clear signs of a pickup in aggregate wage growth."
0,"Very low inflation and deflation pose qualitatively similar economic problems, though the magnitude of the associated costs can be expected to increase sharply as deflationary pressures intensify.",The sentence is classified as 'NEUTRAL' because the stance is neutral.
2,maintaining low and stable inflation.,The FOMC's monetary policy stance is neutral.
2,"There are, however, some problems with this story as the principal explanation for the favorable inflation performance.","HAWKISH: The Fed is tightening monetary policy, which is expected to lead to higher inflation.

Explanation: The Fed is tightening monetary policy, which is expected to lead to higher inflation. This is because the Fed is raising interest rates, which will lead to higher inflation."
2,"Even so, most members viewed a slowing to a rate closer to most estimates of the growth of the economy's potential as a reasonable expectation.","HAWKISH:

The Federal Open Market Committee (FOMC) is a committee of the Federal Reserve System that sets monetary policy for the United States. The committee's decisions are guided by the Federal Reserve's dual mandate to promote maximum employment and stable prices.

The FOMC's September meeting was the first since the U.S. economy entered a recession in the second quarter of 2020. The committee's decision to cut interest rates by a quarter percentage point was widely expected, as the economy has been struggling to recover from the pandemic.

The committee's decision to cut rates was widely seen as a signal that the Fed would continue to ease monetary policy in the months ahead. The committee's decision to cut rates was also seen as a signal that the Fed would continue to support the economy through the pandemic.

The committee's decision to cut rates was also seen as a signal that the Fed would continue to support the economy through the pandemic. The committee's decision to cut rates was also seen as a signal that the Fed would continue to support the economy through the pandemic.

The committee's decision to cut rates was also seen as a signal that the Fed would continue to support the economy through the pandemic. The committee's decision to cut rates was also seen as a signal that the Fed would continue to support the economy through the pandemic."
1,"Several commented that an asymmetric directive did not imply a commitment to tighten monetary policy at some point, whether during the intermeeting period or at a future meeting, but it did imply the need for special vigilance.","HAWKISH:

The FOMC statement is classified as HAWKISH because it is corresponding to tightening of the monetary policy. The sentence ""Several commented that an asymmetric directive did not imply a commitment to tighten monetary policy at some point, whether during the intermeeting period or at a future meeting, but it did imply the need for special vigilance."" implies that the FOMC is concerned about the economy and is taking action to ensure that the economy is stable.

DOVISH:

The FOMC statement is classified as DOVISH because it is corresponding to easing of the monetary policy. The sentence ""Several commented that an asymmetric directive did not imply a commitment to tighten monetary policy at some point, whether during the intermeeting period or at a future meeting, but it did imply the need for special vigilance."" implies that the FOMC is concerned about the economy and is taking action to ensure that the economy is stable.

NEUTRAL:

The FOMC statement is classified as NEUTRAL because it is not corresponding to tightening or easing of the monetary policy. The sentence ""Several commented that an asymmetric directive did not imply a commitment to tighten monetary policy at some point, whether during the intermeeting period or at a future meeting, but it did imply the need for special vigilance."" implies that the FOMC is concerned about the economy and is taking action to ensure that the economy is stable."
0,"So we want to see that healthy process unfold as we decide what the true state of the economy is, and we think it will evolve in a way that will mean lower inflation.","HAWKISH:

The Federal Open Market Committee (FOMC) is a committee of the Federal Reserve System that sets monetary policy for the United States. The FOMC's decisions are guided by the Federal Open Market Committee's (FOMC) mandate to promote maximum employment, stable prices, and a balanced economy.

The FOMC's decisions are guided by the Federal Open Market Committee's (FOMC) mandate to promote maximum employment, stable prices, and a balanced economy. The FOMC's decisions are guided by the Federal Open Market Committee's (FOMC) mandate to promote maximum employment, stable prices, and a balanced economy.

DOVISH:

The Federal Open Market Committee (FOMC) is a committee of the Federal Reserve System that sets monetary policy for the United States. The FOMC's decisions are guided by the Federal Open Market Committee's (FOMC) mandate to promote maximum employment, stable prices, and a balanced economy.

The FOMC's decisions are guided by the Federal Open Market Committee's (FOMC) mandate to promote maximum employment, stable prices, and a balanced economy. The FOMC's decisions are guided by the Federal Open Market Committee's (FOMC) mandate to promote maximum employment, stable prices, and a balanced economy.

NEUTRAL:

The Federal Open Market Committee (FOMC) is a committee of the Federal Reserve System that sets monetary policy for the United States. The FOMC's decisions are guided by the Federal Open Market Committee's (FOMC) mandate to promote maximum employment, stable prices, and a balanced economy.

The FOMC's decisions are guided by the"
2,An easing of supply constraints was expected to support continued gains in economic activity and employment as well as a reduction in inflation.,"HAWKISH:

The Federal Open Market Committee (FOMC) announced that it will continue to monitor the economic and financial situation and will make adjustments as needed to promote a stronger economic recovery and sustained improvement in the labor market. The committee noted that the economy has been growing at a moderate pace, with the unemployment rate remaining low and inflation remaining near its target. However, the committee also noted that the economy has been facing some headwinds, including a slowdown in global growth and a rise in trade tensions. The committee decided to continue to gradually increase the federal funds rate target range to 1.5% to 1.75% and to continue to purchase Treasury securities at a pace of $30 billion per month. The committee also decided to continue to monitor the economic and financial situation and to make adjustments as needed to promote a stronger economic recovery and sustained improvement in the labor market.

DOVISH:

The Federal Open Market Committee (FOMC) announced that it will continue to monitor the economic and financial situation and will make adjustments as needed to promote a stronger economic recovery and sustained improvement in the labor market. The committee noted that the economy has been growing at a moderate pace, with the unemployment rate remaining low and inflation remaining near its target. However, the committee also noted that the economy has been facing some headwinds, including a slowdown in global growth and a rise in trade tensions. The committee decided to continue to gradually increase the federal funds rate target range to 1.5% to 1.75% and to continue to purchase Treasury securities at a pace of $30 billion per month. The committee also decided to continue to monitor the economic and financial situation and to make adjustments as needed to promote a stronger economic recovery and sustained improvement in the labor market.

NEUTRAL:"
2,"The slower growth of M2 followed strong expansion in August and September, however, and growth since midyear was at about the same pace as in the first half of the year.","The FOMC's September meeting minutes showed that the central bank was ""considering a range of policy options to support the economy and financial markets, including a possible increase in the target range for the federal funds rate."" The FOMC's September meeting minutes showed that the central bank was ""considering a range of policy options to support the economy and financial markets, including a possible increase in the target range for the federal funds rate."""
1,Inflation targeting was also associated with increased communication and transparency designed to clarify the central bank's policy intentions.,HAWKISH
0,"Deflation, like inflation, would distort resource allocation and interfere with the economy's ability to reach its full potential.","HAWKISH: Deflation, like inflation, would distort resource allocation and interfere with the economy's ability to reach its full potential.

DOVISH: Deflation, like inflation, would distort resource allocation and interfere with the economy's ability to reach its full potential.

NEUTRAL: Deflation, like inflation, would distort resource allocation and interfere with the economy's ability to reach its full potential."
2,"Broad equity prices rose, adding to their substantial gains since the middle of 2010.","The FOMC's decision to raise interest rates was hawkish, as it was expected to tighten monetary policy. The rise in equity prices was a result of the expectation of higher interest rates, which would lead to a higher cost of borrowing for companies and individuals."
2,"Retail energy prices were likely to retrace at least a portion of the post-hurricane increase, and consumer confidence should rebound.","HAWKISH: Retail energy prices are likely to retrace at least a portion of the post-hurricane increase, and consumer confidence should rebound.

Explanation: Retail energy prices are likely to fall back to pre-hurricane levels, and consumer confidence is expected to rebound."
2,"If the FOMC were to tie mechanically our actions to market prices, then we would be placed in the sorry position of validating whatever whim that currently struck investors' fancy.","HAWKISH: The FOMC is tightening monetary policy.

DOVISH: The FOMC is easing monetary policy.

NEUTRAL: The FOMC is not taking any stance on monetary policy."
0,We want to see lower unemployment.,"The FOMC is a group of the most senior officials of the Federal Reserve System. The FOMC is responsible for setting monetary policy for the United States. The FOMC is composed of the Board of Governors of the Federal Reserve System, the President of the Federal Reserve Bank of New York, and the presidents of the Federal Reserve Banks. The FOMC is responsible for setting monetary policy for the United States."
2,Presumably even normal amortized equity that did not come from higher home prices was extracted in this manner.,"HAWKISH:

""Presumably even normal amortized equity that did not come from higher home prices was extracted in this manner.""

DOVISH:

""Presumably even normal amortized equity that did not come from higher home prices was extracted in this manner.""

NEUTRAL:

""Presumably even normal amortized equity that did not come from higher home prices was extracted in this manner."""
1,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.","The Federal Open Market Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive:

""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.

The Federal Open Market Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive:

The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output."
2,"Later I shall turn to concerns about imbalances in equity prices, the personal saving rate, the current account, and the household debt burden.","The sentence is classified as 'HAWKISH' because it is corresponding to tightening of the monetary policy.

The sentence is classified as 'HAWKISH' because it is corresponding to tightening of the monetary policy. The Federal Open Market Committee (FOMC) is a committee of the United States Federal Reserve System that sets monetary policy. The FOMC is composed of the seven members of the Board of Governors of the Federal Reserve System, the President of the Federal Reserve Bank of New York, and the President of the Federal Reserve Bank of Boston. The FOMC meets twice a year to discuss the economy and set monetary policy. The FOMC's decisions are based on the economic outlook and the committee's assessment of the current and expected future economic conditions.

The FOMC's decisions are based on the economic outlook and the committee's assessment of the current and expected future economic conditions. The FOMC's decisions are based on the economic outlook and the committee's assessment of the current and expected future economic conditions. The FOMC's decisions are based on the economic outlook and the committee's assessment of the current and expected future economic conditions. The FOMC's decisions are based on the economic outlook and the committee's assessment of the current and expected future economic conditions. The FOMC's decisions are based on the economic outlook and the committee's assessment of the current and expected future economic conditions. The FOMC's decisions are based on the economic outlook and the committee's assessment of the current and expected future economic conditions. The FOMC's decisions are based on the economic outlook and the committee's assessment of the current and expected future economic conditions. The FOMC's decisions are based on the economic outlook and the committee's assessment of the current and expected future economic"
2,"It is true that changes in longer-term interest rates in the United States—but also in other advanced economies—does have some effect on emerging markets, particularly those who are trying to peg their exchange rate, and can lead to some capital inflows or outflows.","HAWKISH:

It is true that changes in longer-term interest rates in the United States—but also in other advanced economies—does have some effect on emerging markets, particularly those who are trying to peg their exchange rate, and can lead to some capital inflows or outflows.

DOVISH:

It is true that changes in longer-term interest rates in the United States—but also in other advanced economies—does have some effect on emerging markets, particularly those who are trying to peg their exchange rate, and can lead to some capital inflows or outflows.

NEUTRAL:

It is true that changes in longer-term interest rates in the United States—but also in other advanced economies—does have some effect on emerging markets, particularly those who are trying to peg their exchange rate, and can lead to some capital inflows or outflows."
0,"Although participants considered it unlikely that the economy would reenter a recession, many expressed concern that output growth, and the associated progress in reducing the level of unemployment, could be slow for some time.","HAWKISH:

The FOMC statement is classified as HAWKISH because it is corresponding to tightening of the monetary policy. The sentence is indicating that the FOMC is considering the possibility of a recession, but that the economy is unlikely to reenter a recession. The sentence is also indicating that the FOMC is concerned about the slow pace of economic growth and the associated progress in reducing the level of unemployment.

DOVISH:

The FOMC statement is classified as DOVISH because it is corresponding to easing of the monetary policy. The sentence is indicating that the FOMC is considering the possibility of a recession, but that the economy is unlikely to reenter a recession. The sentence is also indicating that the FOMC is concerned about the slow pace of economic growth and the associated progress in reducing the level of unemployment.

NEUTRAL:

The FOMC statement is classified as NEUTRAL because it is neutral in its stance. The sentence is indicating that the FOMC is considering the possibility of a recession, but that the economy is unlikely to reenter a recession. The sentence is also indicating that the FOMC is concerned about the slow pace of economic growth and the associated progress in reducing the level of unemployment."
2,"She showed there some so-called optimal policy rules that come from trying to get the best possible outcomes from our quantitative econometric models, and what you see, if you look at that, is that the best possible outcomes, assuming perfect certainty, assuming perfect foresight—very unrealistic assumptions—still involve inflation staying quite close to 2 percent.",HAWKISH
2,"In light of these uncertainties as well as continued evidence of muted inflation pressures, participants generally agreed that a patient approach to determining future adjustments to the target range for the federal funds rate remained appropriate.",HAWKISH
2,Participants generally interpreted the information that became available during the intermeeting period as suggesting that economic growth would most likely remain moderate over coming quarters and then pick up very gradually.,"HAWKISH:

Participants generally interpreted the information that became available during the intermeeting period as suggesting that economic growth would most likely remain moderate over coming quarters and then pick up very gradually.

DOVISH:

Participants generally interpreted the information that became available during the intermeeting period as suggesting that economic growth would most likely remain moderate over coming quarters and then pick up very gradually.

NEUTRAL:

Participants generally interpreted the information that became available during the intermeeting period as suggesting that economic growth would most likely remain moderate over coming quarters and then pick up very gradually."
1,Economic DevelopmentsReal economic activity has continued to expand at a solid pace.,The sentence is classified as 'HAWKISH' as it is corresponding to tightening of the monetary policy.
0,"As a result, national saving increased, providing further impetus to economic growth.","As a result, national saving increased, providing further impetus to economic growth."
0,Most FOMC participants anticipate that inflation will gradually move up to the FOMC's 2 percent target over coming years.,"HAWKISH:

The FOMC participants anticipate that inflation will gradually move up to the FOMC's 2 percent target over coming years.

DOVISH:

The FOMC participants anticipate that inflation will gradually move up to the FOMC's 2 percent target over coming years.

NEUTRAL:

The FOMC participants anticipate that inflation will gradually move up to the FOMC's 2 percent target over coming years."
2,"Several participants expressed the view that a decision regarding the long-run composition of the portfolio would not need to be made for some time, and a couple of participants highlighted the importance of making such a decision in the context of the ongoing review of the Federal Reserve's monetary policy strategies, tools, and communications practices.","HAWKISH

The Federal Open Market Committee (FOMC) is a committee of the United States Federal Reserve System that sets monetary policy for the United States. The FOMC is composed of the Board of Governors of the Federal Reserve System and the presidents of the Federal Reserve Banks. The FOMC's decisions are made by a majority vote of the committee's members.

The FOMC's monetary policy stance is known as ""hawkish"" if it is tightening monetary policy, ""dovish"" if it is easing monetary policy, or ""neutral"" if the FOMC is not changing its stance. The FOMC's monetary policy stance is important because it affects the economy and the value of the U.S. dollar.

The FOMC's monetary policy stance is important because it affects the economy and the value of the U.S. dollar. The FOMC's monetary policy stance is important because it affects the economy and the value of the U.S. dollar."
0,labor productivity remained on a strong upward trend.,The FOMC's monetary policy stance is neutral.
1,Persistently strong demand and increasingly supportive conditions in debt and equity markets suggested the possibility of rising inflation pressures.,"HAWKISH:

The Federal Open Market Committee (FOMC) is expected to announce a decision on monetary policy at its meeting on September 17, 2020. The committee is widely expected to announce a further easing of monetary policy, with a view to supporting the economy in the face of the ongoing pandemic.

The committee is likely to announce a further easing of monetary policy, with a view to supporting the economy in the face of the ongoing pandemic. The committee is likely to announce a further easing of monetary policy, with a view to supporting the economy in the face of the ongoing pandemic."
1,"While labor markets were anticipated to remain tight in the near term, participants expected labor demand and supply to come into better balance over time, helping to ease upward pressure on wages and prices.","HAWKISH:

LABOR MARKETS WERE ANTICIPATED TO REMAIN TIGHT IN THE NEAR TERM, PARTICIPANTS EXPECTED LABOR DEMAND AND SUPPLY TO COME INTO BETTER BALANCE OVER TIME, HELPING TO EASE UPWARD PRESSURE ON WAGES AND PRICES.

DOVISH:

LABOR MARKETS WERE ANTICIPATED TO REMAIN TIGHT IN THE NEAR TERM, PARTICIPANTS EXPECTED LABOR DEMAND AND SUPPLY TO COME INTO BETTER BALANCE OVER TIME, HELPING TO EASE UPWARD PRESSURE ON WAGES AND PRICES.

NEUTRAL:

LABOR MARKETS WERE ANTICIPATED TO REMAIN TIGHT IN THE NEAR TERM, PARTICIPANTS EXPECTED LABOR DEMAND AND SUPPLY TO COME INTO BETTER BALANCE OVER TIME, HELPING TO EASE UPWARD PRESSURE ON WAGES AND PRICES."
0,"As we all know, starting in late February or March of last year, widespread economic and social lockdowns and other effects of the pandemic caused the swiftest and deepest contraction in employment and economic activity since the Great Depression.","As we all know, starting in late February or March of last year, widespread economic and social lockdowns and other effects of the pandemic caused the swiftest and deepest contraction in employment and economic activity since the Great Depression.

The sentence is classified as 'HAWKISH' because the word 'lockdowns' is used in the sentence."
0,"However, with monetary policy assumed to remain highly accommodative, the staff continued to anticipate that real GDP growth would outpace that of potential over much of this period, leading to a decline in the unemployment rate to historically low levels.",HAWKISH:
0,"In addition, to address the sizable demand for dollar funding in foreign jurisdictions, the FOMC authorized the expansion of its existing swap lines with the European Central Bank and Swiss National Bank; by the end of the intermeeting period, the formal quantity limits on these lines had been eliminated.",The FOMC's decision to tighten monetary policy is a hawkish stance. The FOMC's decision to ease monetary policy is a dovish stance. The FOMC's decision to maintain a neutral stance is a neutral stance.
2,"One participant suggested that the Committee could announce an additional, lower set of thresholds for inflation and unemployment","The FOMC could announce an additional, lower set of thresholds for inflation and unemployment. This would be a hawkish stance, as it would indicate that the Fed is likely to tighten monetary policy in the future."
1,Many indicated that they expected cyclical pressures associated with a tightening labor market to show through to higher inflation over the medium term.,"HAWKISH:

Many indicated that they expected cyclical pressures associated with a tightening labor market to show through to higher inflation over the medium term.

DOVISH:

Many indicated that they expected cyclical pressures associated with an easing of monetary policy to show through to higher inflation over the medium term.

NEUTRAL:

Many indicated that they expected cyclical pressures associated with a neutral stance to show through to higher inflation over the medium term."
0,"Many members concluded that because there did not seem to be any urgency to tighten current policy for domestic reasons, given the likelihood that inflation would remain subdued for a while, important weight should be given to potential reactions abroad.","HAWKISH: The FOMC statement is hawkish because it indicates that the Fed is likely to tighten monetary policy in the near future. The statement is also hawkish because it indicates that the Fed is likely to tighten monetary policy in response to a weakening global economy.

DOVISH: The FOMC statement is dovish because it indicates that the Fed is likely to ease monetary policy in the near future. The statement is also dovish because it indicates that the Fed is likely to ease monetary policy in response to a strengthening global economy.

NEUTRAL: The FOMC statement is neutral because it is neither hawkish nor dovish. The statement is neutral because it is not clear whether the Fed will tighten or ease monetary policy in the near future."
0,"Moreover, a 50 basis point reduction that was associated with the communication of a Committee view that the risks to achieving its objectives for economic activity were balanced might be mistakenly interpreted in the view of some members as a signal that the Committee had come to the end of its policy easing moves--a judgment they were not prepared to make at this time.",HAWKISH
